Date,Visitor,GV,Home,GH,,Att.,LOG
2019-04-04,Vancouver Canucks,2,Nashville Predators,3,,17669,2:24
2019-04-04,Detroit Red Wings,1,Pittsburgh Penguins,4,,18574,2:26
2019-04-04,Philadelphia Flyers,3,St. Louis Blues,7,,18203,2:34
2019-04-04,Tampa Bay Lightning,3,Toronto Maple Leafs,1,,19400,2:17
2019-04-04,Arizona Coyotes,4,Vegas Golden Knights,1,,18485,2:28
2019-04-04,Montreal Canadiens,1,Washington Capitals,2,,18506,2:22
2019-04-05,Los Angeles Kings,2,Anaheim Ducks,5,,17306,2:31
2019-04-05,Dallas Stars,1,Chicago Blackhawks,6,,21626,2:24
2019-04-05,Columbus Blue Jackets,3,New York Rangers,2,SO,17341,2:43
2019-04-06,Winnipeg Jets,4,Arizona Coyotes,2,,17125,2:29
2019-04-06,Tampa Bay Lightning,6,Boston Bruins,3,,17565,2:23
2019-04-06,Edmonton Oilers,3,Calgary Flames,1,,19289,2:25
2019-04-06,Minnesota Wild,0,Dallas Stars,3,,18532,2:30
2019-04-06,Buffalo Sabres,7,Detroit Red Wings,1,,19515,2:22
2019-04-06,New Jersey Devils,4,Florida Panthers,3,OT,15259,2:45
2019-04-06,Vegas Golden Knights,2,Los Angeles Kings,5,,18230,2:30
2019-04-06,Toronto Maple Leafs,5,Montreal Canadiens,6,SO,21302,2:51
2019-04-06,Chicago Blackhawks,2,Nashville Predators,5,,17694,2:24
2019-04-06,Columbus Blue Jackets,6,Ottawa Senators,2,,18425,2:17
2019-04-06,Carolina Hurricanes,4,Philadelphia Flyers,3,,19433,2:25
2019-04-06,New York Rangers,4,Pittsburgh Penguins,3,OT,18660,2:34
2019-04-06,Colorado Avalanche,2,San Jose Sharks,5,,17562,2:21
2019-04-06,Vancouver Canucks,2,St. Louis Blues,3,SO,17970,2:35
2019-04-06,New York Islanders,3,Washington Capitals,0,,18506,2:17
